TIME: 2025-04-11T00:22:53Z | ALT: 29122 ft | SPD: 475 kt | TEMP: -39 C | FUEL: 85.6%
TIME: 2025-04-11T00:22:53Z | ALT: 39236 ft | SPD: 438 kt | TEMP: -38 C | FUEL: 92.5%
TIME: 2025-04-11T00:22:53Z | ALT: 40506 ft | SPD: 467 kt | TEMP: -49 C | FUEL: 98.7%
TIME: 2025-04-11T00:22:53Z | ALT: 31001 ft | SPD: 505 kt | TEMP: -37 C | FUEL: 43.2%
TIME: 2025-04-11T00:22:53Z | ALT: 30929 ft | SPD: 473 kt | TEMP: -30 C | FUEL: 95.1%
TIME: 2025-04-11T00:22:53Z | ALT: 33736 ft | SPD: 458 kt | TEMP: -31 C | FUEL: 63.1%
TIME: 2025-04-11T00:22:53Z | ALT: 37367 ft | SPD: 437 kt | TEMP: -52 C | FUEL: 29.7%
TIME: 2025-04-11T00:22:53Z | ALT: 38914 ft | SPD: 423 kt | TEMP: -43 C | FUEL: 83.5%
TIME: 2025-04-11T00:22:53Z | ALT: 34473 ft | SPD: 427 kt | TEMP: -37 C | FUEL: 86.0%
TIME: 2025-04-11T00:22:53Z | ALT: 40808 ft | SPD: 477 kt | TEMP: -40 C | FUEL: 45.3%
TIME: 2025-04-11T00:22:53Z | ALT: 36867 ft | SPD: 520 kt | TEMP: -48 C | FUEL: 25.8%
TIME: 2025-04-11T00:22:53Z | ALT: 38932 ft | SPD: 443 kt | TEMP: -39 C | FUEL: 32.4%
TIME: 2025-04-11T00:22:53Z | ALT: 30793 ft | SPD: 469 kt | TEMP: -34 C | FUEL: 27.0%
TIME: 2025-04-11T00:22:53Z | ALT: 35555 ft | SPD: 498 kt | TEMP: -48 C | FUEL: 52.0%
TIME: 2025-04-11T00:22:53Z | ALT: 31669 ft | SPD: 511 kt | TEMP: -42 C | FUEL: 29.7%
TIME: 2025-04-11T00:22:53Z | ALT: 29674 ft | SPD: 423 kt | TEMP: -30 C | FUEL: 46.7%
TIME: 2025-04-11T00:22:53Z | ALT: 37319 ft | SPD: 443 kt | TEMP: -46 C | FUEL: 66.1%
TIME: 2025-04-11T00:22:53Z | ALT: 38488 ft | SPD: 507 kt | TEMP: -30 C | FUEL: 41.5%
TIME: 2025-04-11T00:22:53Z | ALT: 36883 ft | SPD: 516 kt | TEMP: -42 C | FUEL: 66.6%
TIME: 2025-04-11T00:22:53Z | ALT: 34606 ft | SPD: 512 kt | TEMP: -51 C | FUEL: 71.7%
TIME: 2025-04-11T00:22:53Z | ALT: 34553 ft | SPD: 437 kt | TEMP: -49 C | FUEL: 85.8%
TIME: 2025-04-11T00:22:53Z | ALT: 33040 ft | SPD: 455 kt | TEMP: -52 C | FUEL: 61.6%
TIME: 2025-04-11T00:22:53Z | ALT: 39478 ft | SPD: 457 kt | TEMP: -31 C | FUEL: 68.2%
TIME: 2025-04-11T00:22:53Z | ALT: 33653 ft | SPD: 480 kt | TEMP: -44 C | FUEL: 59.3%
TIME: 2025-04-11T00:22:53Z | ALT: 39574 ft | SPD: 451 kt | TEMP: -36 C | FUEL: 67.7%
TIME: 2025-04-11T00:22:53Z | ALT: 31267 ft | SPD: 488 kt | TEMP: -44 C | FUEL: 90.5%
TIME: 2025-04-11T00:22:53Z | ALT: 40588 ft | SPD: 422 kt | TEMP: -30 C | FUEL: 58.5%
TIME: 2025-04-11T00:22:53Z | ALT: 36492 ft | SPD: 433 kt | TEMP: -34 C | FUEL: 71.0%
TIME: 2025-04-11T00:22:53Z | ALT: 37870 ft | SPD: 461 kt | TEMP: -32 C | FUEL: 63.3%
TIME: 2025-04-11T00:22:53Z | ALT: 32082 ft | SPD: 470 kt | TEMP: -37 C | FUEL: 24.6%
TIME: 2025-04-11T00:22:53Z | ALT: 29196 ft | SPD: 464 kt | TEMP: -48 C | FUEL: 99.3%
TIME: 2025-04-11T00:22:53Z | ALT: 35444 ft | SPD: 441 kt | TEMP: -35 C | FUEL: 90.9%
TIME: 2025-04-11T00:22:53Z | ALT: 39545 ft | SPD: 510 kt | TEMP: -46 C | FUEL: 97.8%
TIME: 2025-04-11T00:22:53Z | ALT: 39468 ft | SPD: 462 kt | TEMP: -48 C | FUEL: 35.5%
TIME: 2025-04-11T00:22:53Z | ALT: 31991 ft | SPD: 466 kt | TEMP: -45 C | FUEL: 80.6%
TIME: 2025-04-11T00:22:53Z | ALT: 38989 ft | SPD: 495 kt | TEMP: -38 C | FUEL: 43.2%
TIME: 2025-04-11T00:22:53Z | ALT: 30559 ft | SPD: 520 kt | TEMP: -44 C | FUEL: 29.1%
TIME: 2025-04-11T00:22:53Z | ALT: 39761 ft | SPD: 504 kt | TEMP: -43 C | FUEL: 30.4%
TIME: 2025-04-11T00:22:53Z | ALT: 35011 ft | SPD: 515 kt | TEMP: -47 C | FUEL: 48.9%
TIME: 2025-04-11T00:22:53Z | ALT: 29298 ft | SPD: 438 kt | TEMP: -51 C | FUEL: 36.7%
TIME: 2025-04-11T00:22:53Z | ALT: 33947 ft | SPD: 490 kt | TEMP: -30 C | FUEL: 88.1%
TIME: 2025-04-11T00:22:53Z | ALT: 39990 ft | SPD: 475 kt | TEMP: -42 C | FUEL: 32.8%
TIME: 2025-04-11T00:22:53Z | ALT: 35528 ft | SPD: 506 kt | TEMP: -39 C | FUEL: 62.9%
TIME: 2025-04-11T00:22:53Z | ALT: 32851 ft | SPD: 469 kt | TEMP: -48 C | FUEL: 90.3%
TIME: 2025-04-11T00:22:53Z | ALT: 39205 ft | SPD: 438 kt | TEMP: -34 C | FUEL: 25.5%
TIME: 2025-04-11T00:22:53Z | ALT: 31225 ft | SPD: 446 kt | TEMP: -32 C | FUEL: 73.4%
TIME: 2025-04-11T00:22:53Z | ALT: 32237 ft | SPD: 516 kt | TEMP: -39 C | FUEL: 78.0%
TIME: 2025-04-11T00:22:53Z | ALT: 33461 ft | SPD: 500 kt | TEMP: -37 C | FUEL: 87.9%
TIME: 2025-04-11T00:22:53Z | ALT: 34184 ft | SPD: 496 kt | TEMP: -48 C | FUEL: 97.7%
TIME: 2025-04-11T00:22:53Z | ALT: 30445 ft | SPD: 423 kt | TEMP: -44 C | FUEL: 78.4%
TIME: 2025-04-11T00:22:53Z | ALT: 38871 ft | SPD: 492 kt | TEMP: -44 C | FUEL: 29.6%
TIME: 2025-04-11T00:22:53Z | ALT: 31557 ft | SPD: 500 kt | TEMP: -38 C | FUEL: 52.5%
TIME: 2025-04-11T00:22:53Z | ALT: 29915 ft | SPD: 513 kt | TEMP: -31 C | FUEL: 94.7%
TIME: 2025-04-11T00:22:53Z | ALT: 31455 ft | SPD: 460 kt | TEMP: -55 C | FUEL: 49.7%
TIME: 2025-04-11T00:22:53Z | ALT: 31927 ft | SPD: 516 kt | TEMP: -53 C | FUEL: 63.2%
TIME: 2025-04-11T00:22:53Z | ALT: 34665 ft | SPD: 495 kt | TEMP: -48 C | FUEL: 22.4%
TIME: 2025-04-11T00:22:53Z | ALT: 30908 ft | SPD: 468 kt | TEMP: -39 C | FUEL: 61.1%
TIME: 2025-04-11T00:22:53Z | ALT: 39790 ft | SPD: 480 kt | TEMP: -35 C | FUEL: 72.7%
TIME: 2025-04-11T00:22:53Z | ALT: 34587 ft | SPD: 459 kt | TEMP: -38 C | FUEL: 86.1%
TIME: 2025-04-11T00:22:53Z | ALT: 39696 ft | SPD: 424 kt | TEMP: -36 C | FUEL: 98.0%
TIME: 2025-04-11T00:22:53Z | ALT: 32950 ft | SPD: 506 kt | TEMP: -38 C | FUEL: 21.8%
TIME: 2025-04-11T00:22:53Z | ALT: 39479 ft | SPD: 438 kt | TEMP: -42 C | FUEL: 83.8%
TIME: 2025-04-11T00:22:53Z | ALT: 30788 ft | SPD: 439 kt | TEMP: -47 C | FUEL: 68.4%
TIME: 2025-04-11T00:22:53Z | ALT: 32447 ft | SPD: 453 kt | TEMP: -42 C | FUEL: 30.9%
TIME: 2025-04-11T00:22:53Z | ALT: 40663 ft | SPD: 488 kt | TEMP: -47 C | FUEL: 72.8%
TIME: 2025-04-11T00:22:53Z | ALT: 36669 ft | SPD: 479 kt | TEMP: -49 C | FUEL: 63.9%
TIME: 2025-04-11T00:22:53Z | ALT: 35702 ft | SPD: 434 kt | TEMP: -53 C | FUEL: 44.3%
TIME: 2025-04-11T00:22:53Z | ALT: 33537 ft | SPD: 455 kt | TEMP: -40 C | FUEL: 21.7%
TIME: 2025-04-11T00:22:53Z | ALT: 35940 ft | SPD: 440 kt | TEMP: -40 C | FUEL: 26.7%
TIME: 2025-04-11T00:22:53Z | ALT: 32856 ft | SPD: 501 kt | TEMP: -40 C | FUEL: 84.4%
TIME: 2025-04-11T00:22:53Z | ALT: 31534 ft | SPD: 448 kt | TEMP: -44 C | FUEL: 72.9%
TIME: 2025-04-11T00:22:53Z | ALT: 38638 ft | SPD: 444 kt | TEMP: -49 C | FUEL: 66.7%
TIME: 2025-04-11T00:22:53Z | ALT: 29865 ft | SPD: 453 kt | TEMP: -54 C | FUEL: 86.5%
TIME: 2025-04-11T00:22:53Z | ALT: 29158 ft | SPD: 467 kt | TEMP: -44 C | FUEL: 63.6%
TIME: 2025-04-11T00:22:53Z | ALT: 39011 ft | SPD: 508 kt | TEMP: -34 C | FUEL: 57.3%
TIME: 2025-04-11T00:22:53Z | ALT: 36329 ft | SPD: 458 kt | TEMP: -39 C | FUEL: 90.2%
TIME: 2025-04-11T00:22:53Z | ALT: 37923 ft | SPD: 452 kt | TEMP: -50 C | FUEL: 76.7%
TIME: 2025-04-11T00:22:53Z | ALT: 39662 ft | SPD: 459 kt | TEMP: -48 C | FUEL: 73.8%
TIME: 2025-04-11T00:22:53Z | ALT: 33198 ft | SPD: 466 kt | TEMP: -40 C | FUEL: 90.6%
TIME: 2025-04-11T00:22:53Z | ALT: 40460 ft | SPD: 424 kt | TEMP: -45 C | FUEL: 47.0%
TIME: 2025-04-11T00:22:53Z | ALT: 33942 ft | SPD: 491 kt | TEMP: -39 C | FUEL: 79.8%
TIME: 2025-04-11T00:22:53Z | ALT: 30354 ft | SPD: 468 kt | TEMP: -47 C | FUEL: 38.4%
TIME: 2025-04-11T00:22:53Z | ALT: 29821 ft | SPD: 501 kt | TEMP: -30 C | FUEL: 45.8%
TIME: 2025-04-11T00:22:53Z | ALT: 29945 ft | SPD: 454 kt | TEMP: -38 C | FUEL: 79.0%
TIME: 2025-04-11T00:22:53Z | ALT: 30236 ft | SPD: 513 kt | TEMP: -42 C | FUEL: 98.1%
TIME: 2025-04-11T00:22:53Z | ALT: 37142 ft | SPD: 453 kt | TEMP: -30 C | FUEL: 40.0%
TIME: 2025-04-11T00:22:53Z | ALT: 29218 ft | SPD: 459 kt | TEMP: -30 C | FUEL: 43.6%
TIME: 2025-04-11T00:22:53Z | ALT: 32577 ft | SPD: 456 kt | TEMP: -47 C | FUEL: 69.1%
TIME: 2025-04-11T00:22:53Z | ALT: 33367 ft | SPD: 447 kt | TEMP: -55 C | FUEL: 48.0%
TIME: 2025-04-11T00:22:53Z | ALT: 40051 ft | SPD: 514 kt | TEMP: -35 C | FUEL: 45.8%
TIME: 2025-04-11T00:22:53Z | ALT: 33853 ft | SPD: 425 kt | TEMP: -34 C | FUEL: 43.2%
TIME: 2025-04-11T00:22:53Z | ALT: 34461 ft | SPD: 472 kt | TEMP: -42 C | FUEL: 35.6%
TIME: 2025-04-11T00:22:53Z | ALT: 34277 ft | SPD: 453 kt | TEMP: -46 C | FUEL: 72.5%
TIME: 2025-04-11T00:22:53Z | ALT: 31022 ft | SPD: 468 kt | TEMP: -45 C | FUEL: 47.4%
TIME: 2025-04-11T00:22:53Z | ALT: 33256 ft | SPD: 455 kt | TEMP: -54 C | FUEL: 20.1%
TIME: 2025-04-11T00:22:53Z | ALT: 37647 ft | SPD: 462 kt | TEMP: -43 C | FUEL: 64.2%
TIME: 2025-04-11T00:22:53Z | ALT: 33935 ft | SPD: 519 kt | TEMP: -44 C | FUEL: 66.9%
TIME: 2025-04-11T00:22:53Z | ALT: 38750 ft | SPD: 463 kt | TEMP: -43 C | FUEL: 81.2%
TIME: 2025-04-11T00:22:53Z | ALT: 38102 ft | SPD: 448 kt | TEMP: -55 C | FUEL: 59.2%
TIME: 2025-04-11T00:22:53Z | ALT: 34051 ft | SPD: 468 kt | TEMP: -45 C | FUEL: 90.3%
TIME: 2025-04-11T00:22:53Z | ALT: 32736 ft | SPD: 440 kt | TEMP: -30 C | FUEL: 37.7%
TIME: 2025-04-11T00:22:53Z | ALT: 31194 ft | SPD: 460 kt | TEMP: -40 C | FUEL: 35.7%
TIME: 2025-04-11T00:22:53Z | ALT: 37004 ft | SPD: 483 kt | TEMP: -40 C | FUEL: 94.1%
TIME: 2025-04-11T00:22:53Z | ALT: 32022 ft | SPD: 516 kt | TEMP: -37 C | FUEL: 58.4%
